750, 450
850, 450
1600, 450
2700, 450
2800, 450
2900, 450
3000, 450
3100, 450

1800, 400, 100, 120
2000, 350, 100, 155
2200, 300, 100, 205
2400, 250, 100, 255
3200, 250, 100, 255

38
42
46

250, 300, coin
300, 300, coin
350, 300, coin
400, 300, coin
450, 300, coin
950, 450, block
1000, 400, block
1050, 350, block
1150, 300, none
1200, 300, coin
1250, 300, coin
1300, 300, none
1400, 350, block
1450, 400, block
1500, 450, block
2600, 300, none
2700, 300, none
2800, 300, none
2900, 300, none
3000, 300, none
3100, 300, none

3500, 100
