300, 450
1100, 450
1200, 450
1300, 450
1400, 450

1549, 499, 1, 55
1800, 300, 100, 200

31
33

250, 300, none
300, 300, coin
350, 300, none
600, 450, block
650, 400, block
700, 350, block
750, 300, block
800, 250, block
900, 150, none
950, 150, none
1000, 150, none
1050, 150, none
1100, 150, none
1150, 150, none
1200, 150, none
1250, 150, none
1300, 150, none
1350, 150, none
1400, 150, none
1450, 150, none
1500, 150, none
1550, 150, none
1600, 150, none
1650, 150, none
1700, 150, none
2200, 450, block
2250, 400, block
2300, 350, block
2350, 300, block
2400, 250, block
2500, 150, none
2550, 150, none
2600, 150, none
2650, 150, none
2700, 150, none
2750, 150, none
2800, 150, none
2850, 150, none
2900, 150, none
2950, 150, none
3000, 150, none
3050, 150, none
3100, 150, none
3150, 150, none
3200, 150, none
3250, 150, none
3300, 150, none
3300, 100, none
3300, 50, none
3300, 0, none
2700, 300, coin
2750, 300, coin
2800, 300, coin
2850, 300, coin
2900, 300, coin
2950, 300, coin
3000, 300, coin
3050, 300, coin
3100, 300, coin
3150, 300, coin

3500, 100
